TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP
6,002,2024-04-30,9,14,0,2024-04-30 09:13:59.999,CJOU214760232
6,002,2024-05-01,9,2,1,2024-05-01 09:01:59.999,CJOU214760220
22,002,2024-04-30,17,43,0,2024-04-30 17:42:59.999,CJOU214760232
22,002,2024-05-01,6,0,1,2024-05-01 06:00:00.000,CJOU214760220
24,002,2024-04-30,14,4,0,2024-04-30 14:03:59.999,CJOU214760232
24,002,2024-05-01,6,0,1,2024-05-01 06:00:00.000,CJOU214760220
31,002,2024-04-30,14,2,0,2024-04-30 14:02:00.000,CJOU214760232
31,002,2024-05-01,6,4,1,2024-05-01 06:03:59.999,CJOU214760220
35,002,2024-04-30,21,59,0,2024-04-30 21:58:59.999,CJOU214760232
35,002,2024-05-01,5,57,1,2024-05-01 05:57:00.000,CJOU214760220
36,002,2024-04-30,5,53,0,2024-04-30 05:52:59.999,CJOU214760232
36,002,2024-05-01,5,45,1,2024-05-01 05:45:00.000,CJOU214760220
37,002,2024-04-30,21,40,0,2024-04-30 21:40:00.000,CJOU214760232
37,002,2024-05-01,5,55,1,2024-05-01 05:55:00.000,CJOU214760220
1006,XXX,2024-04-30,21,59,0,2024-04-30 21:58:59.999,CJOU214760232
1006,XXX,2024-05-01,5,53,1,2024-05-01 05:52:59.999,CJOU214760220
1009,XXX,2024-04-30,14,7,0,2024-04-30 14:06:59.999,CJOU214760232
1009,XXX,2024-05-01,5,52,1,2024-05-01 05:51:59.999,CJOU214760220
1016,XXX,2024-04-30,21,22,0,2024-04-30 21:22:00.000,CJOU214760232
1016,XXX,2024-05-01,6,5,1,2024-05-01 06:04:59.999,CJOU214760220
1025,XXX,2024-04-30,22,7,0,2024-04-30 22:07:00.000,CJOU214760232
1025,XXX,2024-05-01,6,0,1,2024-05-01 06:00:00.000,CJOU214760220
1045,XXX,2024-04-30,21,53,0,2024-04-30 21:53:00.000,CJOU214760232
1045,XXX,2024-05-01,6,7,1,2024-05-01 06:07:00.000,CJOU214760220
1072,XXX,2024-04-30,22,2,0,2024-04-30 22:02:00.000,CJOU214760232
1072,XXX,2024-05-01,5,56,1,2024-05-01 05:56:00.000,CJOU214760220
1075,XXX,2024-04-30,22,0,0,2024-04-30 21:59:59.999,CJOU214760232
1075,XXX,2024-05-01,6,23,1,2024-05-01 06:22:59.999,CJOU214760220
1078,XXX,2024-04-30,21,59,0,2024-04-30 21:58:59.999,CJOU214760232
1078,XXX,2024-05-01,6,10,1,2024-05-01 06:10:00.000,CJOU214760220
1081,XXX,2024-04-30,14,11,0,2024-04-30 14:11:00.000,CJOU214760232
1081,XXX,2024-05-01,6,25,1,2024-05-01 06:24:59.999,CJOU214760220
1085,XXX,2024-04-30,22,0,0,2024-04-30 21:59:59.999,CJOU214760232
1085,XXX,2024-05-01,5,56,1,2024-05-01 05:56:00.000,CJOU214760220
1089,XXX,2024-04-30,21,57,0,2024-04-30 21:56:59.999,CJOU214760232
1089,XXX,2024-05-01,6,5,1,2024-05-01 06:04:59.999,CJOU214760220
1102,XXX,2024-04-30,13,31,0,2024-04-30 13:30:59.999,CJOU214760232
1102,XXX,2024-05-01,5,45,1,2024-05-01 05:45:00.000,CJOU214760220
1104,XXX,2024-04-30,14,52,0,2024-04-30 14:51:59.999,CJOU214760232
1104,XXX,2024-05-01,5,43,1,2024-05-01 05:42:59.999,CJOU214760220
1107,XXX,2024-04-30,21,59,0,2024-04-30 21:58:59.999,CJOU214760232
1107,XXX,2024-05-01,6,7,1,2024-05-01 06:07:00.000,CJOU214760220
1108,XXX,2024-04-30,21,40,0,2024-04-30 21:40:00.000,CJOU214760232
1108,XXX,2024-05-01,5,51,1,2024-05-01 05:50:59.999,CJOU214760220
